DATE	WELL	QOIL	QWAT	QGAS	BHP
2017-06-21	WELL10	6462.588966	600.511147	2168.705654	1924.699098
2017-07-21	WELL10	6472.189169	628.5729683	2118.795586	1924.699098
2017-08-20	WELL10	6320.572551	680.0439909	2136.764561	1924.699098
2017-09-19	WELL10	6220.42304	779.7601554	2105.827828	1924.699098
2017-10-19	WELL10	6216.623639	752.4435266	2232.060925	1924.699098
2017-11-18	WELL10	6552.003192	802.4270343	2260.666254	1935.213157
2017-12-18	WELL10	6181.458662	758.3996319	2254.051413	1935.213157
2018-01-17	WELL10	6178.626452	774.7054186	2126.377743	1935.213157
2018-02-16	WELL10	6316.00369	833.0842012	2193.148664	1935.213157
2018-03-18	WELL10	6457.435772	825.3340102	2202.658658	1935.213157
2018-04-17	WELL10	6148.402635	778.0555907	2235.709191	1935.213157
2018-05-17	WELL10	6161.821682	782.9467435	2201.663063	1935.213157
2018-06-16	WELL10	6376.465213	834.2497363	2234.834313	2067.463614
2018-07-16	WELL10	6263.609812	774.1621672	2101.19022	2067.463614
2018-08-15	WELL10	6539.208401	778.8748786	2232.655889	2067.463614
2018-09-14	WELL10	6090.653491	793.6735959	2259.223839	2067.463614
2018-10-14	WELL10	6367.009477	758.9722229	2128.199084	2067.463614
2018-11-13	WELL10	6501.261797	764.1193084	2151.463418	2067.463614
2018-12-13	WELL10	6325.687068	813.2699173	2291.459387	2054.691809
2011-02-01	WELL1A	8128.736957		2840.897487	2056.431104
2011-03-04	WELL1A	7977.844973	2056.431104	2915.183018	2056.431104
2011-04-04	WELL1A	7951.103058	2056.431104	2768.417013	2056.431104
2011-05-05	WELL1A	7773.603514	2056.431104	2915.423672	2056.431104
2011-06-05	WELL1A	8367.572056	3.807105233	2832.062119	2056.431104
2011-07-06	WELL1A	8357.933872	1.472920014	2757.107201	2152.685255
2011-08-06	WELL1A	8252.441645	1.472920014	2898.467709	2152.685255
2011-09-06	WELL1A	7687.90472	1.472920014	2867.5881	2152.685255
2011-10-07	WELL1A	8094.097405	1.472920014	2786.566706	2152.685255
2011-11-07	WELL1A	7698.085478	1.472920014	2890.71467	2152.685255
2011-12-08	WELL1A	8029.786512	4.77373039	2921.482011	2152.685255
2012-01-08	WELL1A	7999.072257	2.805029197	2777.698858	2146.148745
2012-02-08	WELL1A	7865.641468	5.093329354	2867.055085	2146.148745
2012-03-10	WELL1A	8181.804152	5.093329354	2669.53652	2146.148745
2012-04-10	WELL1A	8118.473925	5.093329354	2804.300406	2146.148745
2012-05-11	WELL1A	8134.949236	5.093329354	2906.162628	2146.148745
2012-06-11	WELL1A	8314.219844	1.955226182	2712.63488	2146.148745
2012-07-12	WELL1A	8106.869494	1.967658741	2856.069158	2027.152752
2012-08-12	WELL1A	8296.112286	0.458819318	2704.072061	2027.152752
2012-09-12	WELL1A	7886.464498	4.439974112	2711.358555	2027.152752
2012-10-13	WELL1A	8288.700949	1.980878412	2722.898905	2027.152752
2012-11-13	WELL1A	8223.928555	1.221430007	2819.912676	2027.152752
2012-12-14	WELL1A	8299.039369	4.806241796	2763.761845	2027.152752
2013-01-13	WELL1A	8033.19491	1.171034403	2770.315267	1884.324708
2013-02-12	WELL1A	8024.167179	2.404928802	2726.589208	1884.324708
2013-03-14	WELL1A	8342.855834	2.404928802	2705.974348	1884.324708
